ID. Forn.,Prod. DESC.,SKU.,GRP. MERC. 3,COD. MARC.
,,,,
302100012,GELADEIRA FROST FREE INVERTER IB53X ELECTROLUX 454 LITROS INOX,100312-,996,302
302100012,GELADEIRA FROST FREE DB84 ELECTROLUX 598 LITROS BRANCO,89 721 ?,,
302100012,Frigobar Electrolux RE80 79 Litros Classe A 110V Branco,?1920-- 63,996,302
,,,,
ID. Forn.,Prod. DESC.,SKU.,GRP. MERC. 3,COD. MARC.
302100012,Geladeira Electrolux SS72X Side by Side Frost Free 504 Litros 2 Portas Classe A 127V Inox,18228 5,996,302
,,,,
ID. Forn.,Prod. DESC.,SKU.,GRP. MERC. 3,COD. MARC.
,,,,
9009101002,"Smartphone Apple iPhone XS 256GB 4G Tela 5,8"""" Câmera 12MP Frontal 7MP iOS 12 Dourado",   32 934,102,401
9030121093,SMARTPHONE SAMSUNG GALAXY NOTE 8 N950F 64GB 2CHIPS PRETO,4??349 5,102,607
320621093,BONECA MULTIKIDS BUSH BABY WORLD SHIMMIES BR106,4342I,766,481
320621093,Brinquedo Kit de Voley Disney Princesas Líder 759 ,3 1---24-,766,481
9030121093,SMARTPHONE SAMSUNG GALAXY A8+ A730 64GB 2CHIPS DOURADO,  1 92501 ,,607
,,,,
